;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Cheilopora praelucida;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0
Cheilostomata gen.sp. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006267672;0.028689068;0;0;0;0.061923878;0;0
Cribrilina annulata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.015905415;0;0;0;0;0;0;0
Crisia sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0
Cyclostomata indet. (cf. Diplosolen obelia arctica);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0
Dendrobeania fruticosa quadridentata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.024626348;0;0
Escharoides jacksoni ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.037857398;0;0;0;0;0;0;0
Escharopsis sarsi ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.156530291;0;0;0;0;0;0;0
Eucratea loricata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0
Flustra foliacea;0.243147419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leieschara coarctata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.051078618;0;0
Leieschara sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472;0.008916537;0;0;0;0.001874471;0;0
Leieschara subgracilis ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006267672;0;0;0;0;0.271728068;0;0
Porella plana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.193368025;0;0;0;0;0;0;0
Porella saccata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.487483377;0;0;0;0;0;0;0
Porella sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02981424;0;0
Scrupocellaria sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0
Tricellaria peachi ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0
Tricellaria ternata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472;0;0
Actiniaria gen.sp.;0;0;0.024200455;0.354766371;0.00854574;0.00854574;0.040013785;0.056241906;0;0;0.090961727;0;0.01281861;0;0;0;0.025219776;0.036118037;0;0.863544582;0.072582549;0;0.963526455;0.048249069;0;0;0;0.046849746;0.055097972;0
Cerianthus Iloydii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.69036965;0;0;0;0
Edwardsia sp.;0.010540926;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Grammaria immersa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.068899337;0;0;0;0;0;0;0
Hydrozoa gen. sp.;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hydrozoa gen.sp.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0
Hydrozoa indet.1 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0
Hydrozoa indet.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0
Hydrozoa indet.3 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0
Thuiaria articulata;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tubulipora sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.028404626;0;0;0;0;0.001874471;0;0
Virgularia mirabilis;0;0;0;0;0;0;0;0;0;0;0;0;0.035773084;0;0;0;0;0;0;0.020957224;0;0;0;0;0;0;0;0;0.006267672;0.036820158
Gersemia fruticosa;0;0;0;0;0;0.027548986;0.361688663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023424873;0;0;0;0;0;0;0
Gersemia rubiformis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.394768097
Aceroides latipes;0;0;0.001874471;0;0;0;0;0.005623413;0.002229134;0;0.012625253;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Akanthophoreus gracilis;0;0;0.003748942;0.011688713;0.005623413;0.001874471;0;0.002466943;0.010745699;0.002466943;0.03202346;0;0.001874471;0.001874471;0;0;0.009457416;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0
Ampelisca latipes;0;0;0;0;0;0;0;0;0.006267672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ampelisca sp.;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amphopoda gen.sp.;0;0;0;0;0;0;0.00427287;0;0;0.011246827;0.034291245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anonyx nugax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0;0
Arrhis phyllonyx;0;0.041916417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
