;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Spio armata;0;0;0;0;0;0;0;0.066217831;0.027745276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Spio limicola;0;0;0;0.003748942;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.030705196;0;0;0;0.078015244;0;0
Spio sp.;0;0;0.114378316;0.005081327;0.008863826;0;0;0.004148887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.017727653;0;0;0.001874471;0;0
Spiochaetopterus typicus;0.138862761;0.018388369;0.02639295;0.100346116;0.740321664;0.130707006;4.22973847;0.003048971;0;0.151793888;0.500936454;0.665507111;0;0;0;0.204590988;0;0.049142176;0.692719107;0;0.078791567;0;0.0981908;0;0.441713777;5.027804815;0;0.003152472;0.017727653;0
Spionidae gen.sp.;0.003152472;0.012062707;0;0;0.005301805;0.017145622;0;0.01576236;0.139150819;0.025909256;0.059770853;0;0.10830719;0.003152472;0.001874471;0.006304944;0.00745356;0.022227821;0.029831926;0;0.018416104;0;0;0;0;0;0;0;0;0
Spiophanes wigleyi (ex urceolata);0.076291257;0;0;0;0;0;0;0.02346702;0;0;0;0.005301805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Syllinae gen.sp.;0;0;0;0.005301805;0;0.002229134;0;0;0;0.01061653;0.006304944;0.006977568;0;0;0.001874471;0;0;0;0;0.003152472;0;0;0.011582922;0;0;0;0;0;0.003152472;0
Syllis fasciata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472
Syllis sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003152472
Terebellidae gen.sp.;0;0;0;0.007186082;0.023411655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.012085502;0;0;0;0;0.009593118;0;0
Terebellides sp.;0;0;0.050141375;0;0;0;0;0;0.091669597;0.005301805;0.091114583;0.020957224;0.076525769;0;0;0;0;0.038729833;0.019686777;0;0;0;0;0;0;0;0;0;0;0
Terebellides stroemi;0.013464206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009593118;0;0;0;0.001874471;0;0
Terebellomorpha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.051029494;0;0;0.056588038;0.078730568;0;0;0;0;0;0
Trochochaeta carica;0;0;0;0;0;0;0;0;0;0;0.013872638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Porifera gen. sp.;0;0;0;0;0;0.005301805;0;0;0;0;0.014995769;0;0;0;0;0;0;0;0;0;0;0;0.168237243;0;0;0;0;0;0.012085502;0
Priapulida gen. sp.;0;0;0.073825661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Priapulus bicaudatus;0;0;0;0;0;0.003152472;0;0;0;0.585847049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Priapulus caudatus;0;0;0.003152472;0;0;0;0;0;0;0;0;0;0.005081327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Priapulus sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006267672;0;0;0;0;0;0
REST;0;0;0;0;0;0.01601173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Scaphopoda gen.sp.;0;0;0.003152472;0;0;0;0;0;0.071019445;0;0;0.03471569;0;0.013872638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Siphonodentalium sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0.016990442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Golfingia elgeris;0;0.097311377;0.054009062;0;0;0;0;0;0.003152472;0.003152472;0.003152472;0;0.005081327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Golfingia margaritacea ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.56486589;0;0;0;0.518219833;0;0;0;0;0.083571077;0
Golfingia vulgaris;0;0;0;0;0;0.00854574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nephasoma lilljeborgi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003748942
Nephasoma sp.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02963799;0;0;0.001874471;0;0;0;0;0;0.059834565;0
Phascolion strombus;0.049252696;0;0;0;0;0.034735075;0;0;0;0.015693342;0;0;0;0.109036201;0;0;0;0;0.066204253;0;0;0;0;0.014287202;0.21924421;0;0;0.064534546;0.013464206;0
Phascolosoma margaritaceum;0;0;0;0;0;0;0;0;0;0;0;0;0;0.039373554;0;0.129042927;0;0;0.710473855;0;0;0;0;0;0;0;0;0;0;0
Phascolosoma sp.;0;0;0;0;0;0;0;0;0;0;0;0.24074651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sipuncula gen.sp.;0.055670919;0.002229134;0.080534738;0.018914832;0.020133685;0;0.006267672;0.009593118;0.014995769;0.028689068;0.006977568;0;0.002229134;0;0.040334092;0;0;0.096112457;0;0;0.030811471;0;0;0;0;0;0;0;0;0
