/* DATA DESCRIPTION:
	HE335/009-1 * LATITUDE: 54.836000 * LONGITUDE: 8.081830 * DATE/TIME: 2010-09-09T13:25:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/009-2 * LATITUDE: 54.837330 * LONGITUDE: 8.083330 * DATE/TIME: 2010-09-09T13:28:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/009-3 * LATITUDE: 54.837670 * LONGITUDE: 8.083670 * DATE/TIME: 2010-09-09T13:29:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/010-1 * LATITUDE: 54.834000 * LONGITUDE: 8.164830 * DATE/TIME: 2010-09-09T13:53:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/010-2 * LATITUDE: 54.834330 * LONGITUDE: 8.164670 * DATE/TIME: 2010-09-09T13:54:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/010-3 * LATITUDE: 54.834670 * LONGITUDE: 8.164330 * DATE/TIME: 2010-09-09T13:55:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/011-1 * LATITUDE: 54.916830 * LONGITUDE: 8.167670 * DATE/TIME: 2010-09-09T14:27:00 * ELEVATION: -17.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/011-2 * LATITUDE: 54.917500 * LONGITUDE: 8.166670 * DATE/TIME: 2010-09-09T14:30:00 * ELEVATION: -17.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/011-3 * LATITUDE: 54.918000 * LONGITUDE: 8.166000 * DATE/TIME: 2010-09-09T14:32:00 * ELEVATION: -15.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/012-1 * LATITUDE: 54.999830 * LONGITUDE: 8.085170 * DATE/TIME: 2010-09-09T15:09:00 * ELEVATION: -12.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/012-2 * LATITUDE: 55.000670 * LONGITUDE: 8.083830 * DATE/TIME: 2010-09-09T15:23:00 * ELEVATION: -12.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/012-3 * LATITUDE: 55.000670 * LONGITUDE: 8.084670 * DATE/TIME: 2010-09-09T15:25:00 * ELEVATION: -12.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/013-1 * LATITUDE: 54.999670 * LONGITUDE: 8.162170 * DATE/TIME: 2010-09-09T16:03:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/013-2 * LATITUDE: 55.000000 * LONGITUDE: 8.162330 * DATE/TIME: 2010-09-09T16:05:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/013-3 * LATITUDE: 55.000330 * LONGITUDE: 8.162670 * DATE/TIME: 2010-09-09T16:08:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/014-1 * LATITUDE: 55.082670 * LONGITUDE: 8.166000 * DATE/TIME: 2010-09-09T16:48:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/014-2 * LATITUDE: 55.083330 * LONGITUDE: 8.165330 * DATE/TIME: 2010-09-09T16:51:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/014-3 * LATITUDE: 55.084330 * LONGITUDE: 8.163670 * DATE/TIME: 2010-09-09T16:56:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/015-2 * LATITUDE: 55.083000 * LONGITUDE: 7.999670 * DATE/TIME: 2010-09-09T17:36:00 * ELEVATION: -13.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/015-3 * LATITUDE: 55.083500 * LONGITUDE: 8.000000 * DATE/TIME: 2010-09-09T17:39:00 * ELEVATION: -13.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/015-4 * LATITUDE: 55.083830 * LONGITUDE: 8.000330 * DATE/TIME: 2010-09-09T17:42:00 * ELEVATION: -13.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/016-1 * LATITUDE: 54.998000 * LONGITUDE: 7.913500 * DATE/TIME: 2010-09-09T18:28:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/016-2 * LATITUDE: 54.998170 * LONGITUDE: 7.911830 * DATE/TIME: 2010-09-09T18:32:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/016-3 * LATITUDE: 54.998170 * LONGITUDE: 7.908330 * DATE/TIME: 2010-09-09T18:40:00 * ELEVATION: -10.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/017-1 * LATITUDE: 54.999830 * LONGITUDE: 8.000330 * DATE/TIME: 2010-09-09T19:09:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/017-2 * LATITUDE: 54.999830 * LONGITUDE: 7.999670 * DATE/TIME: 2010-09-09T19:13:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/017-3 * LATITUDE: 54.999830 * LONGITUDE: 7.998830 * DATE/TIME: 2010-09-09T19:16:00 * ELEVATION: -11.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/018-1 * LATITUDE: 54.916670 * LONGITUDE: 7.998830 * DATE/TIME: 2010-09-09T19:50:00 * ELEVATION: -13.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/018-2 * LATITUDE: 54.916500 * LONGITUDE: 7.998500 * DATE/TIME: 2010-09-09T19:53:00 * ELEVATION: -13.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
	HE335/018-3 * LATITUDE: 54.916330 * LONGITUDE: 7.998330 * DATE/TIME: 2010-09-09T19:57:00 * ELEVATION: -13.0 m * LOCATION: North Sea * CAMPAIGN: HE335 * BASIS: Heincke (URI: https://doi.org/10.17815/jlsrf-3-164) * METHOD/DEVICE: Grab (GRAB)
